Coil Name: teste_1
I [A]: 0.000
Number of points: 10
PCB temperature [k]: 10.0000
Temperature Correction: True
V1_mean[V]	V1_std[V]	V2_mean[V]	V2_std[V]	V3_mean[V]	V3_std[V]	B1_mean[T]	B1_std[T]	B2_mean[T]	B2_std[T]	B3_mean[T]	B3_std[T]
0.0001601	0.0000025	0.0002537	0.0000028	-0.0001643	0.0000019	-0.0006644	0.0000171	-0.0007644	0.0000192	-0.0007776	0.0000131

date	time	V1[V]	V2[V]	V3[V]	B1[T]	B2[T]	B3[T]
23/07/06	09:31:12	0.000157246	0.000249883	-0.000164615	-0.0006450506131360469	-0.000738476654371451	-0.0007755444444233835
23/07/06	09:31:13	0.000158957	0.000254225	-0.000163167	-0.0006567345855828069	-0.0007678054604930274	-0.0007853554295378267
23/07/06	09:31:13	0.000161325	0.00025541	-0.000164088	-0.0006729050394522913	-0.0007758097522983041	-0.0007791151551713736
23/07/06	09:31:14	0.00016093	0.000253436	-0.000163825	-0.0006702076875697105	-0.0007624760206198785	-0.0007808971227719617
23/07/06	09:31:14	0.000155799	0.000248567	-0.000165273	-0.0006351694277374858	-0.0007295874998060986	-0.0007710861376364368
23/07/06	09:31:15	0.000160009	0.000255015	-0.000167115	-0.0006639184189895177	-0.0007731416550324704	-0.0007586055887990231
23/07/06	09:31:15	0.000163694	0.000252909	-0.000159483	-0.000689082321935958	-0.0007589163060220523	-0.0008103165268154856
23/07/06	09:31:16	0.000159088	0.000252383	-0.000164483	-0.000657629150390494	-0.0007553633460962967	-0.0007764388159965121
23/07/06	09:31:16	0.000164352	0.000257252	-0.000166062	-0.0006935756321181696	-0.0007882518666024081	-0.0007657402348048246
23/07/06	09:31:17	0.000159351	0.000258173	-0.00016501	-0.0006594251087437093	-0.0007944729237332469	-0.0007728681052439178
