Coil Name: teste_1
I [A]: 0.000
Number of points: 18
PCB temperature [k]: 10.0000
Temperature Correction: True
V1_mean[V]	V1_std[V]	V2_mean[V]	V2_std[V]	V3_mean[V]	V3_std[V]	B1_mean[T]	B1_std[T]	B2_mean[T]	B2_std[T]	B3_mean[T]	B3_std[T]
0.0000012	0.0000005	0.0000008	0.0000003	0.0000009	0.0000004	0.0004208	0.0000031	0.0009439	0.0000023	-0.0018967	0.0000029

date	time	V1[V]	V2[V]	V3[V]	B1[T]	B2[T]	B3[T]
23/07/06	13:36:47	1.711e-06	9.21e-07	5.26e-07	0.000417057560691328	0.0009431816073604685	-0.0018944639400406472
23/07/06	13:36:49	1.974e-06	1.316e-06	1.447e-06	0.00041526160151695966	0.0009405135087833423	-0.0019007042107021467
23/07/06	13:36:51	1.579e-06	1.316e-06	1.184e-06	0.00041795895465002224	0.0009405135087833423	-0.001898922244163771
23/07/06	13:36:53	1.447e-06	6.58e-07	5.26e-07	0.0004188603486090214	0.000944958088186061	-0.0018944639400406472
23/07/06	13:36:55	1.711e-06	5.26e-07	1.316e-06	0.000417057560691328	0.0009458497059390773	-0.0018998166152022742
23/07/06	13:36:57	9.21e-07	7.9e-07	2.63e-07	0.0004224522669638168	0.0009440664704332101	-0.0018926819734957977
23/07/06	13:36:59	1.184e-06	1.316e-06	9.21e-07	0.00042065630778581446	0.0009405135087833423	-0.001897140277623546
23/07/06	13:37:01	9.21e-07	1.053e-06	1.053e-06	0.0004224522669638168	0.0009422899896079475	-0.0018980346486629775
23/07/06	13:37:03	1.447e-06	9.21e-07	7.9e-07	0.0004188603486090214	0.0009431816073604685	-0.0018962526821218316
23/07/06	13:37:05	6.58e-07	7.9e-07	6.58e-07	0.0004242482261430278	0.0009440664704332101	-0.0018953583110814722
23/07/06	13:37:07	9.21e-07	1.053e-06	3.95e-07	0.0004224522669638168	0.0009422899896079475	-0.00189357634453755
23/07/06	13:37:09	1.316e-06	2.63e-07	9.21e-07	0.0004197549138262082	0.0009476261867656557	-0.001897140277623546
23/07/06	13:37:11	1.579e-06	6.58e-07	1.316e-06	0.00041795895465002224	0.000944958088186061	-0.0018998166152022742
23/07/06	13:37:13	6.58e-07	6.58e-07	9.21e-07	0.0004242482261430278	0.000944958088186061	-0.001897140277623546
23/07/06	13:37:15	6.58e-07	1.053e-06	1.711e-06	0.0004242482261430278	0.0009422899896079475	-0.0019024929527768305
23/07/06	13:37:17	7.9e-07	5.26e-07	3.95e-07	0.00042334683218220814	0.0009458497059390773	-0.00189357634453755
23/07/06	13:37:19	2.63e-07	0.0	1.053e-06	0.00042694557928517725	0.00094940266759289	-0.0018980346486629775
23/07/06	13:37:21	1.184e-06	7.9e-07	1.32e-07	0.00042065630778581446	0.0009440664704332101	-0.00189179437799178
