Coil Name: teste_1
I [A]: 0.000
Number of points: 10
PCB temperature [k]: 10.0000
Temperature Correction: True
V1_mean[V]	V1_std[V]	V2_mean[V]	V2_std[V]	V3_mean[V]	V3_std[V]	B1_mean[T]	B1_std[T]	B2_mean[T]	B2_std[T]	B3_mean[T]	B3_std[T]
0.0001612	0.0000026	0.0002524	0.0000019	-0.0001637	0.0000017	-0.0006718	0.0000179	-0.0007555	0.0000126	-0.0007815	0.0000113

date	time	V1[V]	V2[V]	V3[V]	B1[T]	B2[T]	B3[T]
23/07/06	09:28:06	0.000164088	0.000254357	-0.000162904	-0.0006917728450553431	-0.0007686970778091994	-0.0007871373971330504
23/07/06	09:28:07	0.000159483	0.000254488	-0.000163694	-0.0006603265022892314	-0.0007695819404484482	-0.0007817847188005807
23/07/06	09:28:07	0.000161852	0.00025133	-0.000162773	-0.0006765037848699765	-0.0007482506715543707	-0.0007880249931589968
23/07/06	09:28:08	0.000163957	0.000251462	-0.000162509	-0.0006908782802622263	-0.0007491422888768701	-0.0007898137362940993
23/07/06	09:28:08	0.000163299	0.000253436	-0.000165931	-0.0006863849700742152	-0.0007624760206198785	-0.0007666278308399223
23/07/06	09:28:09	0.000163957	0.000255804	-0.000165931	-0.0006908782802622263	-0.0007784710948849303	-0.0007666278308399223
23/07/06	09:28:09	0.00015843	0.000250015	-0.000161852	-0.0006531358401312463	-0.0007393682716971017	-0.0007942652674986099
23/07/06	09:28:10	0.00015593	0.000251462	-0.000161194	-0.0006360639925543254	-0.0007491422888768701	-0.0007987235742356875
23/07/06	09:28:10	0.000160009	0.000251067	-0.000164746	-0.0006639184189895177	-0.0007464741915851993	-0.0007746568483920949
23/07/06	09:28:11	0.000160667	0.000250541	-0.000165799	-0.0006684117292257146	-0.0007429212316434322	-0.0007675222024168893
